no,date,num
399,2021-03-05,3
400,2021-03-06,4
401,2021-03-07,8
402,2021-03-08,6
403,2021-03-09,3
404,2021-03-10,1
405,2021-03-11,4
406,2021-03-12,4
407,2021-03-13,9
408,2021-03-14,6
409,2021-03-15,5
410,2021-03-16,3
411,2021-03-17,14
412,2021-03-18,14
413,2021-03-19,5
414,2021-03-20,16
415,2021-03-21,14
416,2021-03-22,14
417,2021-03-23,3
418,2021-03-24,17
419,2021-03-25,17
420,2021-03-26,14
421,2021-03-27,23
422,2021-03-28,10
423,2021-03-29,10
424,2021-03-30,12
425,2021-03-31,15
426,2021-04-01,7
427,2021-04-02,17
428,2021-04-03,10
429,2021-04-04,15
430,2021-04-05,22
431,2021-04-06,16
432,2021-04-07,16
433,2021-04-08,10
434,2021-04-09,18
435,2021-04-10,5
436,2021-04-11,6
437,2021-04-12,16
438,2021-04-13,9
439,2021-04-14,11
440,2021-04-15,18
441,2021-04-16,4
442,2021-04-17,12
443,2021-04-18,13
444,2021-04-19,24
445,2021-04-20,15
446,2021-04-21,25
447,2021-04-22,24
448,2021-04-23,12
449,2021-04-24,4
450,2021-04-25,14
451,2021-04-26,7
452,2021-04-27,12
453,2021-04-28,29
454,2021-04-29,19
455,2021-04-30,14
456,2021-05-01,12
457,2021-05-02,10
458,2021-05-03,12
459,2021-05-04,10
460,2021-05-05,6
461,2021-05-06,7
462,2021-05-07,9
463,2021-05-08,13
464,2021-05-09,6
465,2021-05-10,4
466,2021-05-11,8
467,2021-05-12,6
468,2021-05-13,5
469,2021-05-14,9
470,2021-05-15,5
471,2021-05-16,6
472,2021-05-17,19
473,2021-05-18,23
474,2021-05-19,23
475,2021-05-20,9
476,2021-05-21,19
477,2021-05-22,56
478,2021-05-23,57
479,2021-05-24,48
480,2021-05-25,29
481,2021-05-26,30
482,2021-05-27,27
483,2021-05-28,24
484,2021-05-29,22
485,2021-05-30,20
486,2021-05-31,31
487,2021-06-01,42
488,2021-06-02,39
489,2021-06-03,74
490,2021-06-04,65
491,2021-06-05,41
492,2021-06-06,46
493,2021-06-07,26
494,2021-06-08,33
495,2021-06-09,44
496,2021-06-10,30
497,2021-06-11,24
498,2021-06-12,23
499,2021-06-13,15
500,2021-06-14,20
501,2021-06-15,16
502,2021-06-16,16
503,2021-06-17,7
504,2021-06-18,11
505,2021-06-19,13
506,2021-06-20,16
507,2021-06-21,18
508,2021-06-22,3
509,2021-06-23,7
510,2021-06-24,3
511,2021-06-25,5
512,2021-06-26,13
513,2021-06-27,8
514,2021-06-28,5
515,2021-06-29,8
516,2021-06-30,11
517,2021-07-01,7
518,2021-07-02,9
519,2021-07-03,8
520,2021-07-04,3
521,2021-07-05,6
522,2021-07-06,8
523,2021-07-07,13
524,2021-07-08,15
525,2021-07-09,19
526,2021-07-10,14
527,2021-07-11,23
528,2021-07-12,37
529,2021-07-13,38
530,2021-07-14,52
531,2021-07-15,51
532,2021-07-16,32
533,2021-07-17,29
534,2021-07-18,42
535,2021-07-19,33
536,2021-07-20,30
537,2021-07-21,35
538,2021-07-22,38
539,2021-07-23,60
540,2021-07-24,52
541,2021-07-25,69
542,2021-07-26,60
543,2021-07-27,69
544,2021-07-28,55
545,2021-07-29,56
546,2021-07-30,62
547,2021-07-31,46
548,2021-08-01,23
549,2021-08-02,26
550,2021-08-03,37
551,2021-08-04,75
552,2021-08-05,121
553,2021-08-06,84
554,2021-08-07,68
555,2021-08-08,63
556,2021-08-09,86
557,2021-08-10,80
558,2021-08-11,66
559,2021-08-12,39
560,2021-08-13,57
561,2021-08-14,82
562,2021-08-15,57
563,2021-08-16,45
564,2021-08-17,46
565,2021-08-18,61
566,2021-08-19,52
567,2021-08-20,39
568,2021-08-21,34
569,2021-08-22,51
570,2021-08-23,57
571,2021-08-24,73
572,2021-08-25,101
573,2021-08-26,95
574,2021-08-27,90
575,2021-08-28,76
576,2021-08-29,57
577,2021-08-30,85
578,2021-08-31,51
579,2021-09-01,55
580,2021-09-02,66
581,2021-09-03,52
582,2021-09-04,42
583,2021-09-05,20
584,2021-09-06,43
585,2021-09-07,38
586,2021-09-08,61
587,2021-09-09,50
588,2021-09-10,44
589,2021-09-11,45
590,2021-09-12,62
591,2021-09-13,31
592,2021-09-14,27
593,2021-09-15,27
594,2021-09-16,47
595,2021-09-17,38
596,2021-09-18,71
597,2021-09-19,47
598,2021-09-20,35
599,2021-09-21,46
600,2021-09-22,41
601,2021-09-23,53
602,2021-09-24,128
603,2021-09-25,118
604,2021-09-26,143
605,2021-09-27,115
606,2021-09-28,126
607,2021-09-29,109
608,2021-09-30,73
609,2021-10-01,85
610,2021-10-02,80
611,2021-10-03,58
612,2021-10-04,68
613,2021-10-05,50
614,2021-10-06,64
615,2021-10-07,46
616,2021-10-08,45
617,2021-10-09,50
618,2021-10-10,48
619,2021-10-11,45
620,2021-10-12,50
621,2021-10-13,66
622,2021-10-14,46
623,2021-10-15,38
624,2021-10-16,47
625,2021-10-17,40
626,2021-10-18,45
627,2021-10-19,35
628,2021-10-20,36
629,2021-10-21,26
630,2021-10-22,21
631,2021-10-23,21
632,2021-10-24,31
633,2021-10-25,32
634,2021-10-26,61
635,2021-10-27,39
636,2021-10-28,106
637,2021-10-29,117
638,2021-10-30,90
639,2021-10-31,57
640,2021-11-01,57
641,2021-11-02,42
642,2021-11-03,66
643,2021-11-04,66
644,2021-11-05,43
645,2021-11-06,38
646,2021-11-07,55
647,2021-11-08,34
648,2021-11-09,44
649,2021-11-10,33
650,2021-11-11,42
651,2021-11-12,70
652,2021-11-13,73
653,2021-11-14,72
654,2021-11-15,49
655,2021-11-16,38
656,2021-11-17,56
657,2021-11-18,73
658,2021-11-19,47
659,2021-11-20,61
660,2021-11-21,44
661,2021-11-22,53
662,2021-11-23,50
663,2021-11-24,78
664,2021-11-25,81
665,2021-11-26,103
666,2021-11-27,76
667,2021-11-28,106
668,2021-11-29,88
669,2021-11-30,78
670,2021-12-01,86
671,2021-12-02,70
672,2021-12-03,99
673,2021-12-04,90
674,2021-12-05,117
675,2021-12-06,146
676,2021-12-07,129
677,2021-12-08,127
678,2021-12-09,132
679,2021-12-10,163
680,2021-12-11,143
681,2021-12-12,137
682,2021-12-13,144
683,2021-12-14,130
684,2021-12-15,178
685,2021-12-16,158
686,2021-12-17,159
687,2021-12-18,215
688,2021-12-19,152
689,2021-12-20,111
690,2021-12-21,138
691,2021-12-22,133
692,2021-12-23,168
693,2021-12-24,151
694,2021-12-25,103
695,2021-12-26,120
696,2021-12-27,130
697,2021-12-28,149
698,2021-12-29,139
699,2021-12-30,117
700,2021-12-31,132
701,2022-01-01,125
702,2022-01-02,86
703,2022-01-03,98
704,2022-01-04,84
705,2022-01-05,112
706,2022-01-06,110
707,2022-01-07,99
708,2022-01-08,108
709,2022-01-09,108
710,2022-01-10,93
711,2022-01-11,71
712,2022-01-12,93
713,2022-01-13,124
714,2022-01-14,90
715,2022-01-15,126
716,2022-01-16,157
717,2022-01-17,176
718,2022-01-18,171
719,2022-01-19,213
720,2022-01-20,364
721,2022-01-21,388
722,2022-01-22,444
723,2022-01-23,458
724,2022-01-24,479
725,2022-01-25,489
726,2022-01-26,670
727,2022-01-27,770
728,2022-01-28,864
729,2022-01-29,879
730,2022-01-30,908
731,2022-01-31,980
732,2022-02-01,965
733,2022-02-02,1147
734,2022-02-03,1256
735,2022-02-04,1713
736,2022-02-05,1640
737,2022-02-06,1970
738,2022-02-07,1971
739,2022-02-08,1786
740,2022-02-09,2414
741,2022-02-10,2329
742,2022-02-11,2494
743,2022-02-12,2370
744,2022-02-13,2573
745,2022-02-14,2606
746,2022-02-15,2362
747,2022-02-16,4190
748,2022-02-17,4199
749,2022-02-18,4538
750,2022-02-19,4223
751,2022-02-20,4707
752,2022-02-21,4160
753,2022-02-22,4158
754,2022-02-23,6306
755,2022-02-24,7148
756,2022-02-25,6290
757,2022-02-26,6990
758,2022-02-27,6157
759,2022-02-28,5825
